created_at,entry_id,TEMPERATURE,TURBIDITY,DISSOLVED OXYGEN,pH,AMMONIA,NITRATE,Population,Length,Weight,source_file
2023-01-01 02:30:00+00:00,1,28.07,16.99,5.94,6.922,0.2814,16.39,1059,5.05,10.72,feed1.csv
2023-01-01 03:00:00+00:00,2,27.42,49.76,6.9,7.372,1.1867,17.29,1414,5.01,11.62,feed1.csv
2023-01-01 03:30:00+00:00,3,26.38,20.08,7.22,7.322,0.9915,37.12,1351,5.1,13.17,feed1.csv
2023-01-01 04:00:00+00:00,4,30.47,18.18,5.9,7.164,0.7523,26.57,900,5.21,13.61,feed1.csv
2023-01-01 04:30:00+00:00,5,30.26,18.21,5.49,7.813,0.8375,17.45,1158,5.06,9.24,feed1.csv
2023-01-01 05:00:00+00:00,6,31.24,50.73,7.92,7.494,1.0816,29.41,1179,5.08,10.62,feed1.csv
2023-01-01 05:30:00+00:00,7,31.27,43.26,8.45,6.913,0.3504,33.65,1020,5.28,14.03,feed1.csv
2023-01-01 06:00:00+00:00,8,29.1,36.15,6.84,7.108,1.4945,15.9,1219,5.22,14.53,feed1.csv
2023-01-01 06:30:00+00:00,9,30.2,27.94,5.6,7.757,1.4624,21.54,923,5.11,15.03,feed1.csv
2023-01-01 07:00:00+00:00,10,31.12,53.86,5.95,6.907,0.979,9.88,1221,5.23,22.21,feed1.csv
2023-01-01 07:30:00+00:00,11,30.67,29.62,5.06,7.992,0.3073,12.25,1030,5.15,16.14,feed1.csv
2023-01-01 08:00:00+00:00,12,27.68,50.83,8.2,7.493,1.0235,32.24,1489,5.17,17.77,feed1.csv
2023-01-01 08:30:00+00:00,13,28.72,31.96,5.41,7.473,0.1176,12.26,862,5.26,17.91,feed1.csv
2023-01-01 09:00:00+00:00,14,27.13,28.85,7.02,7.629,0.0557,26.01,1284,5.07,17.8,feed1.csv
2023-01-01 09:30:00+00:00,15,31.26,33.13,5.96,7.955,0.3939,33.36,1427,5.11,16.37,feed1.csv
2023-01-01 10:00:00+00:00,16,29.53,25.07,6.94,7.287,0.6993,9.28,1373,5.24,19.02,feed1.csv
2023-01-01 10:30:00+00:00,17,27.64,47.38,7.28,7.749,1.3037,27.69,1282,5.22,16.45,feed1.csv
2023-01-01 11:00:00+00:00,18,29.85,35.14,7.9,7.592,1.0935,15.26,1318,5.37,18.03,feed1.csv
2023-01-01 11:30:00+00:00,19,29.58,21.61,5.72,7.174,1.1166,43.52,954,5.27,18.03,feed1.csv
2023-01-01 12:00:00+00:00,20,28.26,54.98,5.04,8.03,0.644,24.34,891,5.24,19.66,feed1.csv
2023-01-01 12:30:00+00:00,21,27.02,29.19,5.48,7.916,0.5254,37.24,1325,5.55,24.63,feed1.csv
2023-01-01 13:00:00+00:00,22,29.79,37.18,8.15,7.722,0.5628,27.01,1254,5.4,16.77,feed1.csv
2023-01-01 13:30:00+00:00,23,29.01,55.32,8.06,7.991,1.4816,6.74,1397,5.45,22.37,feed1.csv
2023-01-01 14:00:00+00:00,24,30.23,41.21,7.09,8.014,0.0698,30.33,1444,5.32,18.27,feed1.csv
2023-01-01 14:30:00+00:00,25,28.94,15.84,7.1,7.792,1.3019,43.06,1309,5.43,21.06,feed1.csv
2023-01-01 15:00:00+00:00,26,30.56,56.99,7.33,7.972,0.8722,29.06,982,5.51,24.68,feed1.csv
2023-01-01 15:30:00+00:00,27,29.02,41.39,5.61,7.776,0.6635,37.77,1185,5.4,23.13,feed1.csv
2023-01-01 16:00:00+00:00,28,29.02,26.75,8.2,7.752,1.0906,40.37,1373,5.58,21.34,feed1.csv
2023-01-01 16:30:00+00:00,29,30.55,16.96,6.47,7.666,0.7351,14.12,1204,5.5,22.57,feed1.csv
2023-01-01 17:00:00+00:00,30,28.14,49.7,6.34,7.854,1.3114,13.48,1045,5.55,25.86,feed1.csv
2023-01-01 17:30:00+00:00,31,26.74,41.0,6.82,7.022,1.352,29.44,1390,5.54,23.54,feed1.csv
2023-01-01 18:00:00+00:00,32,26.16,36.67,5.16,8.033,0.6384,21.44,1460,5.81,25.93,feed1.csv
2023-01-01 18:30:00+00:00,33,29.75,54.69,5.58,8.021,0.4225,38.59,1449,5.64,26.09,feed1.csv
2023-01-01 19:00:00+00:00,34,29.02,49.43,7.58,6.841,0.8926,41.0,1270,5.55,25.2,feed1.csv
2023-01-01 19:30:00+00:00,35,29.39,17.58,5.29,7.956,1.3694,19.14,1222,5.76,31.29,feed1.csv
2023-01-01 20:00:00+00:00,36,26.89,25.59,7.11,6.98,0.3239,14.47,864,5.58,28.77,feed1.csv
2023-01-01 20:30:00+00:00,37,26.46,22.42,5.86,7.269,0.9382,36.22,812,5.74,23.95,feed1.csv
2023-01-01 21:00:00+00:00,38,25.81,47.2,6.36,7.841,0.951,15.99,1012,5.54,28.87,feed1.csv
2023-01-01 21:30:00+00:00,39,27.45,11.68,6.01,7.025,1.1023,37.9,1041,5.63,27.68,feed1.csv
