created_at,entry_id,TEMPERATURE,TURBIDITY,DISSOLVED OXYGEN,pH,AMMONIA,NITRATE,Population,Length,Weight
2023-09-01 08:00:00+05:30,401,26.81,53.32,6.34,7.679,0.66,39.52,1076,12.11,202.66
2023-09-01 08:30:00+05:30,402,29.34,12.98,5.59,7.069,0.9909,24.22,1335,11.91,201.13
2023-09-01 09:00:00+05:30,403,31.09,44.6,7.93,7.004,0.6622,7.75,1285,11.96,199.79
2023-09-01 09:30:00+05:30,404,28.41,17.0,6.92,8.113,0.4224,26.99,1315,12.0,202.41
2023-09-01 10:00:00+05:30,405,27.97,30.79,5.66,8.085,0.8417,21.69,951,12.03,201.08
2023-09-01 10:30:00+05:30,406,28.24,37.43,7.52,8.042,0.527,40.11,1282,11.99,201.11
2023-09-01 11:00:00+05:30,407,26.86,30.14,6.79,7.676,1.4,13.16,1058,12.24,200.69
2023-09-01 11:30:00+05:30,408,30.74,35.98,7.12,7.932,1.3847,38.06,1123,12.11,200.0
2023-09-01 12:00:00+05:30,409,28.43,59.83,6.61,6.897,0.7585,27.31,967,12.2,203.22
2023-09-01 12:30:00+05:30,410,28.33,16.76,7.9,7.269,0.4985,7.18,1487,12.12,204.82
2023-09-01 13:00:00+05:30,411,29.72,43.77,7.9,7.239,1.1083,43.87,1109,12.02,204.81
2023-09-01 13:30:00+05:30,412,28.66,29.8,7.48,7.69,0.0647,25.5,1278,12.25,204.67
2023-09-01 14:00:00+05:30,413,29.71,16.65,5.37,7.298,0.7174,16.64,855,12.05,204.11
2023-09-01 14:30:00+05:30,414,26.79,17.94,7.94,7.008,0.5111,23.78,1419,12.25,207.72
2023-09-01 15:00:00+05:30,415,30.56,57.46,7.35,7.635,1.3816,39.31,1272,12.14,204.37
2023-09-01 15:30:00+05:30,416,31.2,53.98,7.44,7.94,0.0279,17.2,1095,12.5,209.05
2023-09-01 16:00:00+05:30,417,29.74,55.35,6.27,7.335,0.8337,12.71,1260,12.41,206.0
2023-09-01 16:30:00+05:30,418,31.27,59.58,8.08,6.985,1.1136,10.16,1123,12.35,207.0
2023-09-01 17:00:00+05:30,419,27.24,20.42,7.54,7.075,0.7327,16.91,940,12.49,206.07
2023-09-01 17:30:00+05:30,420,28.86,27.77,5.39,7.132,0.1373,36.2,1466,12.3,208.5
2023-09-01 18:00:00+05:30,421,29.46,43.46,6.43,7.22,1.459,23.87,1061,12.45,211.95
2023-09-01 18:30:00+05:30,422,29.34,34.19,8.1,7.7,0.7818,14.1,1219,12.44,211.53
2023-09-01 19:00:00+05:30,423,28.41,30.92,5.17,7.641,0.9251,11.65,1040,12.47,212.96
2023-09-01 19:30:00+05:30,424,28.06,27.89,8.36,7.775,0.3625,18.31,1154,12.59,212.54
2023-09-01 20:00:00+05:30,425,26.97,39.69,7.38,7.308,0.7304,42.6,1388,12.55,209.79
2023-09-01 20:30:00+05:30,426,28.26,38.78,7.21,7.954,0.6494,18.72,979,12.53,211.84
2023-09-01 21:00:00+05:30,427,27.07,18.07,5.95,7.086,0.1216,44.52,865,12.35,211.44
2023-09-01 21:30:00+05:30,428,29.89,33.59,5.87,7.457,0.1682,24.41,1147,12.44,216.16
2023-09-01 22:00:00+05:30,429,27.21,37.67,8.3,7.921,1.2578,12.17,970,12.55,211.61
2023-09-01 22:30:00+05:30,430,26.41,38.51,6.04,7.052,0.3673,40.65,1273,12.59,216.29
2023-09-01 23:00:00+05:30,431,28.83,20.51,7.71,6.954,0.3005,23.41,1333,12.49,216.79
2023-09-01 23:30:00+05:30,432,29.0,47.11,6.38,8.037,0.7623,33.39,1166,12.86,219.16
2023-09-02 00:00:00+05:30,433,30.33,11.26,5.49,7.28,1.1554,44.35,906,12.79,215.18
2023-09-02 00:30:00+05:30,434,28.81,27.74,5.04,7.757,0.1023,7.01,1238,12.72,217.92
2023-09-02 01:00:00+05:30,435,27.6,49.01,6.9,6.835,0.8694,8.87,1026,12.69,221.56
2023-09-02 01:30:00+05:30,436,29.84,38.19,8.42,7.766,0.1876,33.82,1243,12.68,216.26
2023-09-02 02:00:00+05:30,437,28.48,23.06,6.29,7.243,0.0643,16.27,1241,12.62,214.93
2023-09-02 02:30:00+05:30,438,26.13,44.75,6.25,6.878,0.0886,12.37,1195,12.75,214.74
2023-09-02 03:00:00+05:30,439,28.52,38.37,6.2,7.654,1.2529,6.57,1380,12.79,220.43
2023-09-02 03:30:00+05:30,440,30.2,49.81,6.82,7.137,0.1858,5.87,883,12.66,215.73
2023-09-02 04:00:00+05:30,441,27.6,46.75,6.54,7.342,0.0773,35.98,1414,12.83,219.26
2023-09-02 04:30:00+05:30,442,27.07,40.51,8.08,6.913,0.6625,10.38,1350,12.8,221.37
2023-09-02 05:00:00+05:30,443,26.28,34.41,6.77,7.006,1.2676,23.71,812,12.65,221.37
2023-09-02 05:30:00+05:30,444,26.3,16.66,6.78,7.217,0.401,29.24,1492,12.77,222.35
2023-09-02 06:00:00+05:30,445,27.69,23.07,5.48,6.926,0.6384,22.13,1292,12.84,222.44
2023-09-02 06:30:00+05:30,446,28.49,30.95,8.44,8.075,0.0695,6.08,1067,13.09,225.06
2023-09-02 07:00:00+05:30,447,25.91,39.96,5.87,6.808,0.6791,36.34,1324,12.98,221.1
2023-09-02 07:30:00+05:30,448,30.2,35.69,5.26,7.477,0.8706,5.42,919,12.81,222.15
2023-09-02 08:00:00+05:30,449,29.28,24.41,7.32,6.973,0.8607,35.48,1152,13.01,222.45
2023-09-02 08:30:00+05:30,450,28.44,10.32,7.08,7.231,0.5053,40.73,856,12.83,226.16
2023-09-02 09:00:00+05:30,451,29.66,34.81,6.45,8.096,0.4801,22.31,839,13.11,226.8
